Symbol,Company,Market Cap,Estimated EPS,Reported EPS,EPS Difference,EPS Change (%),Revenue (Previous),Revenue (Reported),Next Earnings Date,Last Earnings Date
MKC,"McCormick & Company, Incorporated",17.609B,0.91,0.85,0.03,3.18,1.848B,1.725B,2026-01-22,2025-11-29
PENG,"Penguin Solutions, Inc.",1.415B,0.48,0.43,0.06,14.77,360.620M,337.922M,2026-01-06,2025-11-29
SAR,Saratoga Investment Corp.,389.383M,0.65,0.58,-0.08,-12.24,32.202M,30.626M,2026-01-14,2025-11-29
TNMG,TNL Mediagene,9.331M,-0.08,-0.05,0.00,0.00,31.521M,21.785M,2026-02-25,2025-12-30
